listing_name,scraped_url
1 bedroom flat for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
4 bedroom detached house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
4 bedroom detached house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
4 bedroom detached house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
4 bedroom detached house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
3 bedroom end of terrace house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
2 bedroom town house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
4 bedroom detached house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
3 bedroom detached house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
2 bedroom town house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
3 bedroom end of terrace house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
3 bedroom terraced house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
4 bedroom detached house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
3 bedroom town house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
3 bedroom semi-detached house for sale,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=POSTCODE%5E573703&radius=3.0&sortType=6&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
